Date,Equity
2013-08-02,130465
2013-08-05,130465
2013-08-06,130465
2013-08-07,130465
2013-08-08,130465
2013-08-09,130465
2013-08-12,130465
2013-08-13,130465
2013-08-14,130465
2013-08-15,130465
2013-08-16,130465
2013-08-19,130465
2013-08-20,130465
2013-08-21,130465
2013-08-22,130465
2013-08-23,130465
2013-08-26,130465
2013-08-27,130465
2013-08-28,130465
2013-08-29,130465
2013-08-30,130465
2013-09-03,130465
2013-09-04,130465
2013-09-05,130465
2013-09-06,130465
2013-09-09,130465
2013-09-10,130465
2013-09-11,130465
2013-09-12,130465
2013-09-13,129254
2013-09-16,129063
2013-09-17,128823
2013-09-18,131325
2013-09-19,130609
2013-09-20,131295
2013-09-23,128880
2013-09-24,128930
2013-09-25,127533
2013-09-26,127669
2013-09-27,127410
2013-09-30,127341
2013-10-01,128953
2013-10-02,129097
2013-10-03,127367
2013-10-04,127367
2013-10-07,127367
2013-10-08,127367
2013-10-09,127367
2013-10-10,127367
2013-10-11,127367
2013-10-14,127367
2013-10-15,127367
2013-10-16,127367
2013-10-17,127367
2013-10-18,127367
2013-10-21,127367
2013-10-22,126805
2013-10-23,129879
2013-10-24,129141
2013-10-25,127838
2013-10-28,127813
2013-10-29,130487
2013-10-30,129754
2013-10-31,129774
2013-11-01,129329
2013-11-04,129212
2013-11-05,128634
2013-11-06,128788
2013-11-07,126925
2013-11-08,127942
2013-11-11,127257
2013-11-12,127407
2013-11-13,130012
2013-11-14,130360
2013-11-15,130150
2013-11-18,129897
2013-11-19,129897
2013-11-20,129897
2013-11-21,129897
2013-11-22,129897
2013-11-25,131469
2013-11-26,133038
2013-11-27,133628
2013-11-29,133186
2013-12-02,132544
2013-12-03,132390
2013-12-04,133009
2013-12-05,132903
2013-12-06,134478
2013-12-09,135518
2013-12-10,136337
2013-12-11,135411
2013-12-12,134490
2013-12-13,133337
2013-12-16,134869
2013-12-17,134477
2013-12-18,136349
2013-12-19,136533
2013-12-20,138343
2013-12-23,140163
2013-12-24,139754
2013-12-26,140460
2013-12-27,140578
2013-12-30,139454
2013-12-31,140869
2014-01-02,139915
2014-01-03,138894
2014-01-06,140442
2014-01-07,143150
2014-01-08,143448
2014-01-09,142066
2014-01-10,142059
2014-01-13,141154
2014-01-14,144475
2014-01-15,144377
2014-01-16,145332
2014-01-17,144617
2014-01-21,146272
2014-01-22,146438
2014-01-23,145820
2014-01-24,141261
2014-01-27,138420
2014-01-28,141158
2014-01-29,139135
2014-01-30,142714
2014-01-31,148443
2014-02-03,142467
2014-02-04,143062
2014-02-05,143695
2014-02-06,143695
2014-02-07,143695
2014-02-10,143695
2014-02-11,143695
2014-02-12,144489
2014-02-13,146098
2014-02-14,146451
2014-02-18,147435
2014-02-19,146395
2014-02-20,146610
2014-02-21,146571
2014-02-24,147633
2014-02-25,148545
2014-02-26,148566
2014-02-27,148449
2014-02-28,148015
2014-03-03,146437
2014-03-04,147925
2014-03-05,148333
2014-03-06,148498
2014-03-07,147911
2014-03-10,147519
2014-03-11,146109
2014-03-12,146999
2014-03-13,144778
2014-03-14,142798
2014-03-17,142798
2014-03-18,142798
2014-03-19,142798
2014-03-20,142798
2014-03-21,142798
2014-03-24,142798
2014-03-25,142798
2014-03-26,142798
2014-03-27,142798
2014-03-28,142798
2014-03-31,142798
2014-04-01,142798
2014-04-02,142798
2014-04-03,142798
2014-04-04,142798
2014-04-07,142798
2014-04-08,142798
2014-04-09,142798
2014-04-10,142798
2014-04-11,142798
2014-04-14,142798
2014-04-15,142798
2014-04-16,142798
2014-04-17,142798
2014-04-21,142798
2014-04-22,142798
2014-04-23,142798
2014-04-24,142798
2014-04-25,142798
2014-04-28,142798
2014-04-29,142798
2014-04-30,142798
2014-05-01,142798
2014-05-02,142798
2014-05-05,142798
2014-05-06,142798
2014-05-07,142798
2014-05-08,142798
2014-05-09,142798
2014-05-12,142798
2014-05-13,142798
2014-05-14,142798
2014-05-15,142798
2014-05-16,142798
2014-05-19,142798
2014-05-20,142798
2014-05-21,142798
2014-05-22,142798
2014-05-23,145851
2014-05-27,149348
2014-05-28,148221
2014-05-29,147799
2014-05-30,147749
2014-06-02,146176
2014-06-03,143804
2014-06-04,143730
2014-06-05,146168
2014-06-06,146809
2014-06-09,148337
2014-06-10,147923
2014-06-11,147472
2014-06-12,145495
2014-06-13,145603
2014-06-16,143629
2014-06-17,143294
2014-06-18,146028
2014-06-19,146432
2014-06-20,146817
2014-06-23,146817
2014-06-24,146817
2014-06-25,146817
2014-06-26,146817
2014-06-27,145867
2014-06-30,145372
2014-07-01,147239
2014-07-02,147154
2014-07-03,147760
2014-07-07,147133
2014-07-08,144313
2014-07-09,145574
2014-07-10,144315
2014-07-11,146357
2014-07-14,147795
2014-07-15,147772
2014-07-16,147237
2014-07-17,144980
2014-07-18,150375
2014-07-21,148957
2014-07-22,150289
2014-07-23,150603
2014-07-24,149938
2014-07-25,148844
2014-07-28,149243
2014-07-29,147982
2014-07-30,148439
2014-07-31,144442
2014-08-01,143044
2014-08-04,144833
2014-08-05,142792
2014-08-06,143121
2014-08-07,143121
2014-08-08,143121
2014-08-11,143121
2014-08-12,143121
2014-08-13,143121
2014-08-14,143121
2014-08-15,143121
2014-08-18,143121
2014-08-19,143121
2014-08-20,143121
2014-08-21,143121
2014-08-22,143121
2014-08-25,142290
2014-08-26,141716
2014-08-27,140034
2014-08-28,139592
2014-08-29,140181
2014-09-02,141586
2014-09-03,141736
2014-09-04,142726
2014-09-05,143732
2014-09-08,144625
2014-09-09,142488
2014-09-10,143001
2014-09-11,143001
2014-09-12,143001
2014-09-15,141057
2014-09-16,142743
2014-09-17,143929
2014-09-18,145036
2014-09-19,146713
2014-09-22,144569
2014-09-23,143033
2014-09-24,144721
2014-09-25,141539
2014-09-26,142041
2014-09-29,141859
2014-09-30,142105
2014-10-01,139868
2014-10-02,140313
2014-10-03,140313
2014-10-06,140313
2014-10-07,140313
2014-10-08,140313
2014-10-09,140313
2014-10-10,140313
2014-10-13,140313
2014-10-14,140313
2014-10-15,140313
2014-10-16,140313
2014-10-17,140313
2014-10-20,140313
2014-10-21,140313
2014-10-22,140313
2014-10-23,140313
2014-10-24,140313
2014-10-27,140313
2014-10-28,140313
2014-10-29,140313
2014-10-30,140313
2014-10-31,140313
2014-11-03,140313
2014-11-04,140313
2014-11-05,138517
2014-11-06,137532
2014-11-07,137271
2014-11-10,138915
2014-11-11,139626
2014-11-12,138870
2014-11-13,138380
2014-11-14,138131
2014-11-17,136129
2014-11-18,135754
2014-11-19,136251
2014-11-20,136251
2014-11-21,136251
2014-11-24,136251
2014-11-25,136251
2014-11-26,136251
2014-11-28,136251
2014-12-01,136251
2014-12-02,136251
2014-12-03,136251
2014-12-04,136251
2014-12-05,136251
2014-12-08,136251
2014-12-09,136251
2014-12-10,136251
2014-12-11,136251
2014-12-12,136251
2014-12-15,136251
2014-12-16,136251
2014-12-17,136251
2014-12-18,136251
2014-12-19,136251
2014-12-22,136251
2014-12-23,136251
2014-12-24,136251
2014-12-26,136251
2014-12-29,136251
2014-12-30,136251
2014-12-31,136251
2015-01-02,136251
2015-01-05,132352
2015-01-06,129284
2015-01-07,129063
2015-01-08,129470
2015-01-09,127793
2015-01-12,126860
2015-01-13,126860
2015-01-14,126860
2015-01-15,126860
2015-01-16,126860
2015-01-20,126860
2015-01-21,126860
2015-01-22,126860
2015-01-23,126860
2015-01-26,126860
2015-01-27,126860
2015-01-28,126860
2015-01-29,123919
2015-01-30,129709
2015-02-02,128244
2015-02-03,128428
2015-02-04,126856
2015-02-05,128025
2015-02-06,128855
2015-02-09,128086
